Species,Body.Weight.kg,Brain.Weight.g,Log2.Body.Weight.kg,Log2.Brain.Weight.g,Body.Weight.Classification
Cow,465.0,423.0,8.861086905995395,8.72451385311995,Not_Small
Grey Wolf,36.33,119.5,5.18308946064076,6.900866807980749,Not_Small
Goat,27.66,115.0,4.789729251375769,6.845490050944375,Not_Small
Guinea Pig,1.04,5.5,0.056583528366367514,2.4594316186372973,Small
Diplodocus,11700.0,50.0,13.51422090935813,5.643856189774724,Not_Small
Asian Elephant,2547.0,4603.0,11.314583244274194,12.168358727223886,Not_Small
Donkey,187.1,419.0,7.547665748353421,8.710806433699352,Not_Small
Horse,521.0,655.0,9.025139562278508,9.355351096424812,Not_Small
Potar Monkey,10.0,115.0,3.321928094887362,6.845490050944375,Not_Small
Cat,3.3,25.6,1.722466024471091,4.678071905112637,Small
Giraffe,529.0,680.0,9.047123912114026,9.409390936137703,Not_Small
Gorilla,207.0,406.0,7.693486957499325,8.665335917185176,Not_Small
Human,62.0,1320.0,5.954196310386875,10.366322214245816,Not_Small
African Elephant,6654.0,5712.0,12.700006150882865,12.479780264029099,Not_Small
Triceratops,9400.0,70.0,13.198445041452363,6.129283016944966,Not_Small
Rhesus Monkey,6.8,179.0,2.765534746362977,7.483815777264256,Small
Kangaroo,35.0,56.0,5.129283016944966,5.807354922057604,Not_Small
Hamster,0.12,1.0,-3.0588936890535687,0.0,Small
Mouse,0.023,0.4,-5.442222328605074,-1.3219280948873622,Small
Rabbit,2.5,12.1,1.3219280948873624,3.596935142387232,Small
Sheep,55.5,175.0,5.794415866350106,7.451211111832329,Not_Small
Jaguar,100.0,157.0,6.643856189774724,7.294620748891627,Not_Small
Chimpanzee,52.16,440.0,5.704871964456353,8.78135971352466,Not_Small
Brachiosaurus,87000.0,154.5,16.408727780510816,7.271463027904375,Not_Small
Rat,0.28,1.9,-1.8365012677171204,0.925999418556223,Small
Mole,0.122,3.0,-3.0350469470992008,1.584962500721156,Small
Pig,192.0,180.0,7.584962500721156,7.491853096329675,Not_Small
